id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
303489,2010-06-05,2010-06-05,,Arizona,17909,chris_hass,2013-06-18 16:10:09 UTC,2021-09-05 07:38:57 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/303489,https://inaturalist-open-data.s3.amazonaws.com/photos/376565/medium.JPG,,"","",3,0,false,,United States,33.6280169043,-109.2892164382,30,,,,28930,obscured,obscured,true,,,Mexican Wolf,Canis lupus baileyi,Mexican Wolf,Mammalia,197859
331599,2013-07-06,2013-07-06,,Pacific Time (US & Canada),19075,peziol,2013-07-13 20:25:22 UTC,2021-09-05 08:01:04 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/331599,https://inaturalist-open-data.s3.amazonaws.com/photos/413653/medium.jpg,,"","gray wolf, front and hind",0,0,false,,United States,43.4983743888,-112.5666891861,1048397,,,,1048397,,obscured,true,,,Canis lupus,Canis lupus,Gray Wolf,Mammalia,42048
334004,2008-07-08,2008-07-08,,Central Time (US & Canada),19122,rebeccamowry,2013-07-16 01:38:26 UTC,2021-10-02 14:38:01 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/334004,https://inaturalist-open-data.s3.amazonaws.com/photos/416862/medium.jpg,,"","Mexican wolves in the Gila National Forest. Cheating; they were radio-collared, so I knew they were close, but didn't expect them to run right by me.",8,0,false,,"Catron County, US-NM, US",33.4686620113,-108.6366319558,18577,,,,28957,obscured,obscured,true,,,Mexican Wolf,Canis lupus baileyi,Mexican Wolf,Mammalia,197859
352498,2009-08-20,2009-08-20,,Pacific Time (US & Canada),18840,herptracker,2013-07-31 05:18:03 UTC,2021-09-05 08:00:54 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/352498,http://static.inaturalist.org/photos/439538/medium.jpg,,Gray Wolf,"The tracks of a large gray wolf in a dusty trail in the Sawtooth National Forest, ID.",2,0,false,,"Idaho, US",43.8896014625,-114.8122137847,87851,,,,87851,,obscured,true,,,Gray Wolf,Canis lupus,Gray Wolf,Mammalia,42048
352501,2009-08-23,2009-08-23,,Pacific Time (US & Canada),18840,herptracker,2013-07-31 05:19:46 UTC,2021-09-05 08:00:35 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/352501,http://static.inaturalist.org/photos/439544/medium.jpg,,Gray Wolf,"The fresh scat of a gray wolf on a road in the Sawtooth National Forest, ID.",1,0,false,,"Idaho, US",43.9004075627,-114.8773269188,87851,,,,87851,,obscured,true,,,Gray Wolf,Canis lupus,Gray Wolf,Mammalia,42048
359714,2011-06-17,2011-06-17,,Pacific Time (US & Canada),18840,herptracker,2013-08-08 05:13:52 UTC,2021-09-09 01:44:35 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/359714,http://static.inaturalist.org/photos/448932/medium.jpg,,Gray Wolf,A female gray wolf observed traveling from an elk kill site to a probable den location.,4,0,false,,"Yellowstone National Park, US",44.8985251857,-110.1497859479,1537,,,,27253,,obscured,true,,,Gray Wolf,Canis lupus,Gray Wolf,Mammalia,42048
372319,2006-05-28 10:17:52,2006-05-28,2006-05-28 15:17:52 UTC,Central Time (US & Canada),10553,jonahevans,2013-08-21 19:58:52 UTC,2021-09-06 17:58:12 UTC,research,CC-BY,http://www.inaturalist.org/observations/372319,http://static.inaturalist.org/photos/747082/medium.jpg,,"","Tracks in Lamar Valley, Yellowstone NP",2,0,false,,"Yellowstone National Park, US",44.8595122051,-110.3552148174,678,,,,27253,,obscured,true,,"",Gray Wolf,Canis lupus,Gray Wolf,Mammalia,42048
384385,2013-08-21 09:59:53,2013-08-21,2013-08-21 15:59:53 UTC,Mountain Time (US & Canada),19758,connoromalley92,2013-09-01 02:33:56 UTC,2021-09-05 08:05:21 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/384385,https://inaturalist-open-data.s3.amazonaws.com/photos/480317/medium.jpg,,"",Nice wolf tracks in the mud.,3,0,false,,"Lincoln County, US-WY, US",42.0724977838,-110.7085300665,,,,,27692,,obscured,true,,,Gray Wolf,Canis lupus,Gray Wolf,Mammalia,42048
384404,2013-08-12 15:02:22,2013-08-12,2013-08-12 21:02:22 UTC,Mountain Time (US & Canada),19758,connoromalley92,2013-09-01 02:57:05 UTC,2021-09-09 02:31:13 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/384404,https://inaturalist-open-data.s3.amazonaws.com/photos/480344/medium.jpg,,"",Very fresh wolf tracks.,2,0,false,,"Grand Teton National Park, Teton County, US-WY, US",43.7953821215,-110.7445031805,,,,,27443,,obscured,true,,,Gray Wolf,Canis lupus,Gray Wolf,Mammalia,42048
384406,2013-08-16 16:07:57,2013-08-16,2013-08-16 22:07:57 UTC,Mountain Time (US & Canada),19758,connoromalley92,2013-09-01 02:58:58 UTC,2021-09-09 02:31:08 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/384406,https://inaturalist-open-data.s3.amazonaws.com/photos/480346/medium.JPG,,"",Wolf scat on top of a bunch of coyote scats.,1,0,false,,"Teton County, US-WY, US",43.5516784706,-110.2034483779,,,,,10000,,obscured,true,,,Gray Wolf,Canis lupus,Gray Wolf,Mammalia,42048
393139,2000-07-10,2000-07-10,,Monterrey,16838,lobo_de_la_sierra,2013-09-10 02:02:14 UTC,2022-01-04 19:17:15 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/393139,https://inaturalist-open-data.s3.amazonaws.com/photos/492032/medium.jpg,,"Lobo mexicano, mexican wolf, Canis lupus baileyi, tracks, black bear","",2,1,false,,"Arizona, US",33.6005733189,-109.3999129194,110,,,,28930,,obscured,true,,,Lobo Mexicano,Canis lupus baileyi,Mexican Wolf,Mammalia,197859
393146,2000-07-20,2000-07-20,,Monterrey,16838,lobo_de_la_sierra,2013-09-10 02:14:33 UTC,2021-07-27 12:12:12 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/393146,https://inaturalist-open-data.s3.amazonaws.com/photos/492042/medium.jpg,,"Mexican Wolf, Lobo, Lobo Mexicano, Canis lupus baileyi, Tracks","",6,0,false,,United States,33.6948936609,-109.3826142929,110,,,,28930,,obscured,true,,,Mexican Wolf,Canis lupus baileyi,Mexican Wolf,Mammalia,197859
393148,2000-09-18,2000-09-18,,Monterrey,16838,lobo_de_la_sierra,2013-09-10 02:17:52 UTC,2021-09-05 07:38:46 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/393148,https://inaturalist-open-data.s3.amazonaws.com/photos/492040/medium.jpg,,"Lobo Mexicano, Mexican Wolf, Lobo, Canis lupus baieyi.","",8,0,false,,United States,33.6985743403,-109.0000402858,110,,,,28930,,obscured,true,,,Mexican Wolf,Canis lupus baileyi,Mexican Wolf,Mammalia,197859
487331,2008-07-04,2008-07-04,,Eastern Time (US & Canada),18439,speiden,2013-12-25 17:29:07 UTC,2021-09-09 02:53:33 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/487331,https://inaturalist-open-data.s3.amazonaws.com/photos/616018/medium.jpg,,"",tracks,1,0,false,,Tanana Valley State Forest,64.7808,-148.168,100,,,,100,,,false,,,Grey Wolf,Canis lupus,Gray Wolf,Mammalia,42048
594168,Tue Mar 04 2014 12:14:57 GMT-0800 (PST),2014-03-04,2014-03-04 20:14:57 UTC,Pacific Time (US & Canada),14477,jhpalisade,2014-03-29 15:06:01 UTC,2021-09-05 06:43:35 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/594168,https://inaturalist-open-data.s3.amazonaws.com/photos/751993/medium.jpg,,"","Two wolves, walking across a frozen cove on Lake Superior, north of Gooseberry Falls. One is on the flat, the other on the ridge in profile.",0,0,false,3,"Minnesota, US",47.0133566466,-91.3818305815,203398,,,,203398,,obscured,true,,,Gray wolf,Canis lupus,Gray Wolf,Mammalia,42048
594222,Fri Mar 07 2014 09:46:48 GMT-0800 (PST),2014-03-07,2014-03-07 17:46:48 UTC,Pacific Time (US & Canada),14477,jhpalisade,2014-03-29 15:17:45 UTC,2021-09-05 06:43:19 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/594222,https://inaturalist-open-data.s3.amazonaws.com/photos/752034/medium.jpg,,"","Observed these prints in the snow along the shore of Lake Superior, at the state beach north of Gooseberry Falls.  The wolves were observed a few days earlier.",1,0,false,3,"Lake County, US-MN, US",47.114584629,-91.5383832473,,,,,10000,,obscured,true,,,Gray wolf,Canis lupus,Gray Wolf,Mammalia,42048
775045,2014-06-19 12:46:32 PM MST,2014-06-19,2014-06-19 18:46:32 UTC,Mountain Time (US & Canada),17909,chris_hass,2014-07-08 21:58:58 UTC,2021-09-05 07:38:40 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/775045,https://inaturalist-open-data.s3.amazonaws.com/photos/973596/medium.jpg,,"",Also heard howling nearby.,3,0,false,2,"Arizona, US",33.6783808521,-109.5791797013,8,,,,28930,,obscured,true,gps,gps,Mexican Wolf,Canis lupus baileyi,Mexican Wolf,Mammalia,197859
814205,Thu Jul 31 2014 20:34:48 GMT-0600 (MDT),2014-07-31,2014-08-01 02:34:48 UTC,Mountain Time (US & Canada),2179,charlie,2014-08-03 05:21:30 UTC,2021-09-09 01:54:49 UTC,research,CC0,http://www.inaturalist.org/observations/814205,https://inaturalist-open-data.s3.amazonaws.com/photos/1026798/medium.jpg,,2014HohnRoadtrip,! White and black ones apparently mated pair. ,1,0,false,3,"Yellowstone National Park, Park County, US-WY, US",44.7750521974,-110.5975167041,5,,,,27285,,obscured,true,,"",Gray Wolf,Canis lupus,Gray Wolf,Mammalia,42048
841591,2014-07-28,2014-07-28,,Vienna,48147,dellfalconer,2014-08-21 19:12:34 UTC,2021-09-09 03:13:50 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/841591,https://inaturalist-open-data.s3.amazonaws.com/photos/1065398/medium.jpg,,"","",4,0,false,,Salmon Fork Black River,66.512012,-142.011483,21333,,,,21333,,,false,,,Gray Wolf,Canis lupus,Gray Wolf,Mammalia,42048
863402,2014-08-30 08:03:48,2014-08-30,2014-08-30 15:03:48 UTC,Pacific Time (US & Canada),19715,gbentall,2014-09-05 22:28:42 UTC,2021-09-09 01:59:15 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/863402,https://inaturalist-open-data.s3.amazonaws.com/photos/1095161/medium.JPG,,"","OK, there is a black wolf visible in this picture. I may not get the ID confirmation but it was one of the greatest wildlife viewings of my life. I was able to see and hear the Alpha male howl. This is the Junction Butte pack with, I believe, 9 individuals.",3,0,false,,United States,44.8878692909,-110.3181788303,1025,,,,27253,,obscured,true,,,Gray Wolf,Canis lupus,Gray Wolf,Mammalia,42048
1156003,Tue Dec 30 2014 08:49:20 GMT-0700 (MST),2014-12-30,2014-12-30 15:49:20 UTC,Mountain Time (US & Canada),16101,dpom,2015-01-01 23:53:42 UTC,2021-09-09 02:09:51 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1156003,https://inaturalist-open-data.s3.amazonaws.com/photos/1456945/medium.jpg,,"",Pack of 6 wolves in Lamar Valley. Very cold morning of -30 * F.  Got to hear the pack howling for the thrill of a lifetime. There was a cow elk on the other side of the rise that they were interested in. ,3,0,false,3,"Yellowstone National Park, US",44.8162712455,-110.3076979669,,,,,27253,,obscured,true,,,Gray Wolf,Canis lupus,Gray Wolf,Mammalia,42048
1250476,2015-02-18,2015-02-18,,Central Time (US & Canada),9051,happleman,2015-02-22 01:47:57 UTC,2021-09-05 07:11:28 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1250476,https://inaturalist-open-data.s3.amazonaws.com/photos/1569978/medium.JPG,,"",Found this very large wolf scat on the driveway - cool!,1,0,false,,"Minnesota, US",46.0613349011,-92.9265209362,874,,,,27047,,obscured,true,,,Gray Wolf,Canis lupus,Gray Wolf,Mammalia,42048
1264818,2015-02-12 12:30 PM CST,2015-02-12,2015-02-12 18:30:00 UTC,Central Time (US & Canada),72752,dphyillaier,2015-03-01 20:38:17 UTC,2021-09-05 07:11:54 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1264818,https://inaturalist-open-data.s3.amazonaws.com/photos/1587698/medium.jpg,,"","",1,0,false,,"Minnesota, US",45.9070554553,-93.5646033929,,,,,27079,,obscured,true,,,Grey Wolf,Canis lupus,Gray Wolf,Mammalia,42048
1766783,2015-07-14 11:12:17,2015-07-14,2015-07-14 19:12:17 UTC,Alaska,46255,mbowser,2015-07-15 20:13:16 UTC,2021-09-09 02:54:59 UTC,research,CC-BY,http://www.inaturalist.org/observations/1766783,https://inaturalist-open-data.s3.amazonaws.com/photos/2136272/medium.jpg,,"","",3,0,false,,"Kenai Peninsula, Alaska, United States",60.13505,-151.3560133333,300,,,,300,,,false,,,Gray Wolf,Canis lupus,Gray Wolf,Mammalia,42048
1789353,2015-07-21 08:49:13,2015-07-21,2015-07-21 13:49:13 UTC,Central Time (US & Canada),111581,jwalewski,2015-07-22 11:27:27 UTC,2021-09-05 06:43:15 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1789353,https://inaturalist-open-data.s3.amazonaws.com/photos/2167168/medium.JPG,,,"",1,0,false,,"Lake County, US-MN, US",47.4119428529,-91.3615146457,,,,,10000,,obscured,true,,,timber wolf,Canis lupus,Gray Wolf,Mammalia,42048
2196978,Sun Oct 18 2015 13:09:56 GMT-0600 (MDT),2015-10-18,2015-10-18 19:09:56 UTC,Mountain Time (US & Canada),126547,ericbaler,2015-10-19 02:13:11 UTC,2021-09-09 02:35:57 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/2196978,https://inaturalist-open-data.s3.amazonaws.com/photos/2542952/medium.jpg,,"",,0,0,false,3,United States,43.6902442054,-111.1893966747,,,,,27443,,obscured,true,,,Gray Wolf,Canis lupus,Gray Wolf,Mammalia,42048
2509755,2015-05-30 08:02:35,2015-05-30,2015-05-30 18:02:35 UTC,Hawaii,4749,terathopius,2015-12-28 08:11:10 UTC,2021-09-09 02:42:58 UTC,research,,http://www.inaturalist.org/observations/2509755,http://static.inaturalist.org/photos/2819964/medium.jpg,,"","",4,0,false,,"Mckinley Park, Alaska, United States",63.712782,-149.099321,,,,,,,,false,,"",Gray Wolf,Canis lupus,Gray Wolf,Mammalia,42048
2581438,2011-08-06,2011-08-06,,Eastern Time (US & Canada),84778,catabbott,2016-01-14 20:01:05 UTC,2021-09-09 03:02:49 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2581438,http://static.inaturalist.org/photos/2881938/medium.jpg,,Tracks,"",1,0,false,,"Noatak River, AK",67.492204,-154.847162,316,,,,316,,,false,,,Gray Wolf,Canis lupus,Gray Wolf,Mammalia,42048
2588748,5-23-2010,2010-05-23,,Central Time (US & Canada),169388,dmhaan,2016-01-17 16:42:24 UTC,2021-11-26 20:57:23 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/2588748,http://static.inaturalist.org/photos/2892943/medium.JPG,,Gray wolf,Wolf tracks near Igloo Creek Campground in Denali National Park.,0,0,false,,Denali National Park,63.61272,-149.583527,,,,,,,,false,,,Gray Wolf,Canis lupus,Gray Wolf,Mammalia,42048
2590942,8-6-2008,2008-08-06,,Central Time (US & Canada),169388,dmhaan,2016-01-18 05:02:49 UTC,2021-09-05 06:52:30 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2590942,http://static.inaturalist.org/photos/2896335/medium.JPG,,Gray wolf,Two wolf pups seen at an old gravel pit off of Hwy 21.  No adult wolves were seen.  ,4,0,false,,"Minnesota, US",47.6180988417,-91.9173322145,,,,,26807,,obscured,true,,,Gray Wolf,Canis lupus,Gray Wolf,Mammalia,42048
2602165,9-30-2007,2007-09-30,,Central Time (US & Canada),169388,dmhaan,2016-01-20 19:16:48 UTC,2021-09-09 02:07:18 UTC,research,,http://www.inaturalist.org/observations/2602165,http://static.inaturalist.org/photos/2906033/medium.JPG,,"Wolves, Yellowstone National Park","Lamar Valley; Druid Peak Pack.  10 wolves (6 black, 4 gray)",3,0,false,,United States,44.8098276367,-109.4911844025,,,,,27253,,obscured,true,,,Gray Wolf,Canis lupus,Gray Wolf,Mammalia,42048
2602171,9-29-2007,2007-09-29,,Central Time (US & Canada),169388,dmhaan,2016-01-20 19:19:43 UTC,2021-09-09 02:07:13 UTC,research,,http://www.inaturalist.org/observations/2602171,http://static.inaturalist.org/photos/2906046/medium.JPG,,"wolves, Yellowstone National Park, Hayden Valley",Hayden Valley; saw 3 wolves.  Note radio collars visible on 2 wolves in the first photo,4,0,false,,"Yellowstone National Park, Park County, US-WY, US",44.7900425057,-110.5039038504,,,,,27285,,obscured,true,,,Gray Wolf,Canis lupus,Gray Wolf,Mammalia,42048
2602177,6-20-2006,2006-06-20,,Central Time (US & Canada),169388,dmhaan,2016-01-20 19:25:13 UTC,2021-09-05 06:51:51 UTC,research,,http://www.inaturalist.org/observations/2602177,http://static.inaturalist.org/photos/2906057/medium.jpg,,Gray wolf,Pike Lake Pack; live-trapped wolf as part of a long-standing research project.  Wolf#989,6,0,false,,"Minnesota, US",47.5661283034,-91.8445641487,,,,,26839,,obscured,true,,,Gray Wolf,Canis lupus,Gray Wolf,Mammalia,42048
2627284,Thu Jan 28 2016 14:09:44 GMT-0700 (MST),2016-01-28,2016-01-28 21:09:44 UTC,Mountain Time (US & Canada),95772,alorenz,2016-01-29 13:45:58 UTC,2021-09-09 02:12:14 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/2627284,https://inaturalist-open-data.s3.amazonaws.com/photos/2942842/medium.jpg,,,,0,0,false,3,"Teton County, US-WY, US",43.6609878311,-110.4057960256,,,,,10000,,obscured,true,,,Gray Wolf,Canis lupus,Gray Wolf,Mammalia,42048
2641340,2014-07-24,2014-07-24,,Paris,173306,zanskar,2016-02-03 10:41:31 UTC,2021-09-09 01:54:42 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2641340,https://inaturalist-open-data.s3.amazonaws.com/photos/2963424/medium.JPG,,"",,2,0,false,,"Yellowstone National Park, Park County, US-WY, US",44.6829244857,-110.4000006873,1515,,,,27285,,obscured,true,,,Gray Wolf,Canis lupus,Gray Wolf,Mammalia,42048
2645816,8-19-2006,2006-08-19,,Central Time (US & Canada),169388,dmhaan,2016-02-05 02:37:53 UTC,2020-12-21 17:22:10 UTC,research,,http://www.inaturalist.org/observations/2645816,,https://static.inaturalist.org/sounds/4675.mp3?1502855657,"",Wolves howling near the helispot on the west side of Snowbank Road.,2,0,false,,"Lake County, US-MN, US",47.8741627839,-91.4730753387,1197,,,,26775,,obscured,true,,,Gray Wolf,Canis lupus,Gray Wolf,Mammalia,42048
2691063,2003-09-09,2003-09-09,,Eastern Time (US & Canada),84778,catabbott,2016-02-17 15:00:31 UTC,2021-09-09 02:52:42 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2691063,https://inaturalist-open-data.s3.amazonaws.com/photos/3027647/medium.jpg,,"","",2,0,false,,"Denali National Park, AK",63.590119,-150.023804,19688,,,,19688,,,false,,,Gray Wolf,Canis lupus,Gray Wolf,Mammalia,42048
2736418,2016-03-01 08:03:28,2016-03-01,2016-03-01 14:03:28 UTC,Central Time (US & Canada),111581,jwalewski,2016-03-02 01:40:32 UTC,2021-12-01 22:01:54 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/2736418,https://inaturalist-open-data.s3.amazonaws.com/photos/3088417/medium.JPG,,"","",0,0,false,,"Lake County, US-MN, US",47.3310616703,-91.2392069345,,,,,26855,,obscured,true,,,Gray Wolf,Canis lupus,Gray Wolf,Mammalia,42048
3049774,Tue Apr 26 2016 09:53:18 GMT-0800 (AKDT),2016-04-26,2016-04-26 17:53:18 UTC,Alaska,222957,jeffrasic,2016-04-28 18:39:12 UTC,2022-04-02 16:22:47 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3049774,https://inaturalist-open-data.s3.amazonaws.com/photos/3512764/medium.jpg,,"",,3,0,false,3,"Gates of the Arctic National Park and Preserve, Anaktuvuk Pass, AK, US",68.1378337605,-151.7386202552,3451,,,,3451,,,false,,,Gray Wolf,Canis lupus,Gray Wolf,Mammalia,42048
3049992,2016-03-03,2016-03-03,,Central Time (US & Canada),226624,aheathco,2016-04-28 19:33:29 UTC,2021-09-05 07:01:59 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/3049992,https://inaturalist-open-data.s3.amazonaws.com/photos/3513054/medium.jpg,,mammals,5 wolves ran in front of vehicle ~10km from shore on frozen Lower Red Lake,1,0,false,,"Beltrami County, US-MN, US",47.8785695144,-94.9888078695,,,,,26775,,obscured,true,,,Gray Wolf,Canis lupus,Gray Wolf,Mammalia,42048
3105754,2015-09-15 09:03:48,2015-09-15,2015-09-15 15:03:48 UTC,Mountain Time (US & Canada),231584,montanaclan,2016-05-05 20:58:06 UTC,2021-11-27 23:19:36 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3105754,http://static.inaturalist.org/photos/4735267/medium.jpeg,,"",Called in while elk hunting,7,0,false,,"Mineral County, US-MT, US",47.3255987372,-114.7850249906,12588,,,,26871,obscured,,true,,,Gray Wolf,Canis lupus,Gray Wolf,Mammalia,42048
